number,content,sentiment,sentiment_score,stance,stance_score
105,スケリーが良すぎるなぁ カラフィオーリが復帰してもスタメンで見たいわ 交代時のパフォーマンスでさらに好きになった笑,neutral (0.780),0.78,強く反対 (0.237),0.237
106,お互いヘトヘト 内容なんかしらん結果が全て,neutral (0.775),0.775,中立 (0.242),0.242
107,勝てたから良かったけどカイのところの層がな カイを休めさせられないのはきつい,neutral (0.758),0.758,中立 (0.221),0.221
108,正直5点は取れた試合だったけど勝って3pが重要 4バック特にガブリエルと両SBの強さが際立ってた,neutral (0.687),0.687,強く反対 (0.230),0.23
109,いやぁまず勝利おめでとう だけどみんなシュート下手になったわw シュート練習もっとやれw,neutral (0.747),0.747,強く反対 (0.256),0.256
110,サカホワイトウデゴの流動性のある右からの攻撃が恋しいわ マジではよ帰ってきてくれ,neutral (0.773),0.773,中立 (0.225),0.225
111,サカの次のスターボーイになる気がする 天性の身体の強さとバランスあるし,neutral (0.759),0.759,強く反対 (0.228),0.228
112,スケリーはそれに加えてボール持てるのがデカい プレッシャー受けても失わないキープ力 あれは普通のSBが持ってない能力だわ,neutral (0.723),0.723,強く反対 (0.237),0.237
113,元々アンカーだからね 身体能力も高いし現代のSBにピッタリだわ,neutral (0.744),0.744,強く反対 (0.223),0.223
114,アウェーのダービー4連勝って無敗の頃でもなかったぞ 2022年以降全部勝ち点3取ってるホームなら15年負けてないし,neutral (0.781),0.781,強く反対 (0.236),0.236
115,トッテナムは降格圏のほうが近いなw,neutral (0.698),0.698,強く反対 (0.258),0.258
116,ウデゴもカイも本当に戦ってるのはわかるからフィニッシュもやり切って報われてほしい,neutral (0.787),0.787,中立 (0.221),0.221
117,控えいなくてボロボロだな前線 これ以上怪我人出さないためにも補強せんと それでなくてもシュート下手なやつばっかなのに 疲労で足元覚束無いし判断鈍ってるしでダメダメだ,neutral (0.774),0.774,強く反対 (0.232),0.232
118,次も中2日で試合かよ 選手殺す気やんもっと試合間隔あけてやれよ,neutral (0.741),0.741,強く反対 (0.239),0.239
119,次どころか2月の頭までこのペースだ12月の中旬あたりからずっとマジで選手殺す気だよ,neutral (0.722),0.722,強く賛成 (0.227),0.227
120,トッテナムも大概酷かったわ ベリヴァルが空けたスペースを埋める人いないしジョンソンは全部適当すぎて草生える,neutral (0.780),0.78,強く賛成 (0.224),0.224
121,ヘロヘロのハヴァーツがまったく休めなくてどんどんコンディションが落ちる悪循環 ユースからあげて少しは休ませてくれ,neutral (0.730),0.73,強く反対 (0.225),0.225
122,カビアはカラバオ3回戦ですら微妙だったしオイデジエドワースはトップチーム出場0 これじゃティアニーやチェンコをWGで使うのはしょうがない,neutral (0.746),0.746,強く賛成 (0.222),0.222
123,下手したら本職じゃないドーマンがユースで1番まともな右ウィングだしね,neutral (0.714),0.714,強く反対 (0.250),0.25
124,でもPLに出場できないんだよなあ規定で,neutral (0.719),0.719,強く反対 (0.229),0.229
125,ティアニー一個前はあくまで逃げ切り用の使い方だし きついな,neutral (0.765),0.765,中立 (0.229),0.229
126,ティアニーチェンコ使ってでもトロのプレータイム管理しなきゃいけない苦しい台所事情だったな 今日観にきてるんだろジョシュ頼むぞ,neutral (0.742),0.742,強く賛成 (0.227),0.227
127,カイは病み上がりから連戦で調子落ちまくり 判断最悪で頭回ってない,neutral (0.740),0.74,中立 (0.217),0.217
128,トロサールゴールは決めたけど 苦しすぎるなぁあんな簡単にボールロストしてたら ちょっとね点決めたからすべておkとはさすがにならんかなぁ・・・,neutral (0.778),0.778,強く反対 (0.222),0.222
129,トロサールのゴールはスカッとしたけどロスト増えまくりでもうきついな,neutral (0.712),0.712,強く反対 (0.227),0.227
130,ハヴァーツはマジで休ませるタイミングないんだよなジェズス離脱までは休ませつつ使ってたけど病み上がりからフル稼働しないと回らない ヌワネリ復帰してもCFできる奴が根本的にいないからなワンチャンでネッリぐらいだけど収までって形は難しいしな,neutral (0.767),0.767,強く賛成 (0.240),0.24
131,後半疲れてきたとき 相手陣地からのリスタートのプレスの掛け方あぶなかったわ 簡単に剥されてドリブルで運ばれてDFラインが曝されすぎた あれは修正してほしかったな,neutral (0.727),0.727,強く反対 (0.248),0.248
132,バックスは冬はもうこれ以上無いよ 前線はトロトップにしないとカイ休めないんだからな,neutral (0.770),0.77,中立 (0.230),0.23
133,ティアニーを干し続けてたのは正解だったんだろうかと思うプレーぶりだった,neutral (0.719),0.719,強く反対 (0.234),0.234
134,まあ怪我がね,neutral (0.796),0.796,強く反対 (0.240),0.24
135,ライスのインタビューでもスケリーについてめっちゃ聞かれてるな笑,neutral (0.779),0.779,強く反対 (0.231),0.231
136,April 2024 Tottenham 23 Arsenal Man of the Match Gabriel Magalhães September 2024 Tottenham 01 Arsenal Man of the Match Gabriel Magalhães January 2025 Arsenal 21 Tottenham Man of the Match Gabriel Magalhães ノーロンの鬼マガリャン,neutral (0.850),0.85,強く反対 (0.226),0.226
137,マルティネッリトロサールハヴァーツの並びの方がまだいいと思うけど ジェズスの右WGといいアルテタはしねぇんだよな マルティネッリは器用じゃないから本来の左にしてあげた方がいいし トロサールが1番キック上手いからゴールから遠ざけるより中の方がいいし ハヴァーツはファーストターゲットにするより後から飛び込ませてあげて欲しいし,neutral (0.693),0.693,強く反対 (0.243),0.243
138,マジでターンオーバー人員確保が急務過ぎる ホワイト冨はよ復活してくれ,neutral (0.783),0.783,強く反対 (0.219),0.219
139,ホワイト冨安はリハビリ最終段階って感じだけど まだフリトレ復帰には1週間は必要かなぁと,neutral (0.715),0.715,強く反対 (0.237),0.237
140,60分マルティネッリを休ませただけでもスターリングは価値がある選手 スペンス経由でビルドアップ出来ないのを見越してスタメンで出したアルテタの名采配だよ,neutral (0.692),0.692,強く賛成 (0.251),0.251
141,スターリングは守備でサボることはなくなっていたからまだ使える あとはティンバーやウデゴとうまく連携できれば 正直単独突破はスペンス相手にもできなくなっていたから衰えかな,neutral (0.759),0.759,強く反対 (0.228),0.228
142,あと普通にスケリーは身体能力高いよな ユース時代はそれ故に身体がついて来れず怪我多かったけど,neutral (0.738),0.738,強く反対 (0.247),0.247
143,ヴィラ戦もスターリングスタートの途中でマルorトロだろうね 判断がちょくちょく気になる場面はあったけど頑張ってもらわねば ティンバー使い詰めなのが心配冨安はよ帰ってきてくれ,neutral (0.773),0.773,強く賛成 (0.221),0.221
144,それにしても鳴り物入りで獲得したカラフィオーリが怪我の間にスタメン獲得しそうなスケリーは ドビュッシーとベジェリンを思い出させる まぁカラフィオーリが腐る事にはならないだろうが,neutral (0.745),0.745,強く反対 (0.231),0.231
145,そこまで歳は離れてないけどね なんかのインタビューでベジェリンはスタメン争いやる気満々だったけどドビュッシーは大人な受け答えしてたのが記憶に残ってる,neutral (0.756),0.756,中立 (0.238),0.238
146,とりあえず1つ目の山場を越えられて良かった あとは補強がどうなるか,neutral (0.761),0.761,強く反対 (0.238),0.238
147,うおおおおおお ジュベントゥージに所属するCBダニーロ・ボザ に日本からオファーがありまもなく移籍するとか 26歳のダニーロ・ボザは今季ブラジル1部32試合出場 J1案件かなCBが必要なJクラブといえば,neutral (0.778),0.778,強く賛成 (0.238),0.238
148,待望の壁CBキタ(゚゚) あとは右SBとクリロナか,neutral (0.836),0.836,強く反対 (0.232),0.232
149,アルベルト島野 浦和へ移籍するってよ 午前528 ・ 2025年1月15日 マジかよ,neutral (0.834),0.834,中立 (0.239),0.239
150,mk19 代理人調べたらドウグラス・ヴィエイラと同じなんですね 午前813 ・ 2025年1月15日,neutral (0.834),0.834,中立 (0.233),0.233
151,185センチ右利きは一応右センターバックに合う,neutral (0.825),0.825,強く反対 (0.252),0.252
152,Danilo Boza この選手かCBとしては足下は異常に上手いな 壁になれるかどうかはよく分からん,neutral (0.753),0.753,強く反対 (0.244),0.244
153,ボールの持ち出しかたが闘莉王にそっくり 足元は相当上手いね 攻撃大好きな感じ ヘディングも強いようだけど ヘディングゴールは少ないな 体も強いね スピードもまぁまぁ,neutral (0.777),0.777,強く反対 (0.237),0.237
154,裏に出すロングフィードめっちゃ上手いな,neutral (0.751),0.751,強く反対 (0.233),0.233
155,良いところばかり集めてるんだから当たり前だけど スピードあって足元うまくてすげーいい選手に見えるな 守備力は分からんが,neutral (0.715),0.715,強く反対 (0.239),0.239
156,ChatGPTに聞いてみた ダニーロ・ボザ選手はブラジル出身のセンターバックで空中戦やフィジカルの強さが特徴です スコルジャ監督の戦術に適応するためにはこれらの能力に加えてビルドアップ能力や戦術理解度が求められます したがってダニーロ・ボザ選手が浦和レッズにフィットするかどうかは彼の総合的なスキルセットとスコルジャ監督の戦術要求との適合性によると言えます,neutral (0.686),0.686,強く賛成 (0.239),0.239
157,無難な答えしか出てこないやん,neutral (0.731),0.731,強く反対 (0.231),0.231
158,ダニーロ・ボザ選手の成功確率は約50と推定されます フィジカルの強さや空中戦はJリーグでプラスに働く要素です 一方で戦術的適応や浦和レッズでの競争の激しさが課題となります マチェイ・スコルジャ監督の戦術理解がカギとなるでしょう シーズン序盤での適応が成功への重要なポイントです,neutral (0.661),0.661,強く賛成 (0.239),0.239
159,がっつり右CBやね 足もとも上手っぽい,neutral (0.759),0.759,強く反対 (0.245),0.245
160,動画見てたらだんだん気に入ってきた カバーリングやインターセプトが得意でドリブルでどんどん持ち上がって攻撃参加するリベロタイプ アドリエウソンの方が対人守備能力や跳躍力が凄くてヘディング強くていかにも壁って感じだったが,neutral (0.734),0.734,強く賛成 (0.234),0.234
161,アルベルト島野 日本からオファーがあったダニーロ・ボザは 南米のトップ5リーグで最も成功率の高いディフェンスデュエルを持つ7人のセンターバックのうち4位にランクアップされているとか,neutral (0.735),0.735,強く賛成 (0.240),0.24
162,南米トップ5リーグって初めて聞いたがブラジルアルゼンチンの他の3つはどこ,neutral (0.802),0.802,強く賛成 (0.230),0.23
163,知らんけど ウルグアイパラグアイコロンビアあたりじゃね,neutral (0.746),0.746,中立 (0.233),0.233
164,流石にこのデータのダニーロは浦和が取る方で合ってるのかな,neutral (0.736),0.736,強く賛成 (0.221),0.221
165,やっと壁が来るのか,neutral (0.755),0.755,強く反対 (0.236),0.236
166,持ち上がりもできて縦パスも刺せる 足元うまいし足も遅くなさそう 来てくれるならありがたいね,neutral (0.758),0.758,強く反対 (0.253),0.253
167,wikiには右SBできるという情報が,neutral (0.746),0.746,強く反対 (0.247),0.247
168,サントス時代に右サイドバックやったけどひどかったみたい,neutral (0.761),0.761,強く賛成 (0.233),0.233
169,これが確定と言う事ならホリの出来る範囲で頑張ったと見て良いのかな 欲を言えば右SBの補強が欲しかったけどね,neutral (0.721),0.721,強く反対 (0.243),0.243
170,右SB兼まだまだ薄手のCBの控えとして橋岡欲しいとこなんだけどな たぶん水面下で動いてそうな気もするがルートンタウンと本人に復帰の意思があるかどうか 来年のW杯出場考えたら試合に出れる所に行かなきゃどうにもならんし,neutral (0.761),0.761,中立 (0.227),0.227
171,ダニーロ・ボザ フルネーム Danilo Boza Júnior 生年月日(年) May 6 1998(26) 身長 185 m 国籍 ブラジル ポジション Defender CentreBack 利き足 右 所属 Esporte Clube Juventude 契約 Dec 31 2025 市場価値 150Mill tps 2024 全国選手権(セリエA) 32試合3G1A 黄紙2 出場2832 2023 全国選手権(セリエB) 38試合2G1A 黄紙1 出場3389 2022 全国選手権(セリエB) 17試合0G0A 黄紙2 出場1248 2021 全国選手権(セリエA) 22試合0G1A 黄紙2 出場1455 2020 全国選手権(セリエD) 20試合4G0A 黄紙5 2枚目退場1 出場1764 2019 全国選手権(セリエB) 0試合0G0A 出場0 201819 ポルトガル2部 9試合0G0A 出場736 tps,neutral (0.797),0.797,強く反対 (0.249),0.249
172,ええやん,neutral (0.773),0.773,強く反対 (0.253),0.253
173,てかCBで黄紙少ないのも凄いな,neutral (0.757),0.757,中立 (0.217),0.217
174,西野が今年獲得したコロンビア人DFは1シーズンだけで17枚も黄紙もらってて草,neutral (0.807),0.807,強く反対 (0.225),0.225
175,1シーズンでカード17枚草 どんなプレーしたらそんな事になるのか,neutral (0.800),0.8,強く賛成 (0.231),0.231
176,ビルドアップ能力ありそうなのは戦術的には求めてるタイプな感じだね 一応記事には右SBもやれる的なこと書いてあるけどどうなんだろ,neutral (0.721),0.721,強く反対 (0.232),0.232
177,正直去年の夏に取る選手だったろとは思う まあ取れるなら最低限か あとSBはよ,neutral (0.722),0.722,強く反対 (0.240),0.24
178,足速いのはいいな JリーグのCBは足遅いと辛い,neutral (0.746),0.746,強く反対 (0.222),0.222
179,足速いのは良いな ライン上げられる あとはマリウスとのコミュニケーションだが,neutral (0.786),0.786,強く賛成 (0.222),0.222
180,バスコのディフェンダーダニーロ・ボザが世界最速選手の一人に,neutral (0.790),0.79,強く賛成 (0.217),0.217
181,スピード自信あるのか 36キロってJリーグだと誰くらい,neutral (0.769),0.769,強く賛成 (0.221),0.221
182,調べたら去年のデータでトップタイで ガンバの山下と当時鹿島の藤井の354の上,neutral (0.753),0.753,強く賛成 (0.234),0.234
183,ほう 計測がブラジルと日本だとズレありそうだが 足は自慢の快速ぽいな,neutral (0.819),0.819,強く反対 (0.211),0.211
184,松尾で去年の記録だと347 36だとJナンバーワンの数字になるね,neutral (0.732),0.732,強く反対 (0.228),0.228
185,すげえスペック高そうな選手だが ちょっと遅咲きぽいのはなんでだろな,neutral (0.716),0.716,強く反対 (0.227),0.227
186,ダニーロボザが前に進みたくても バックパス横パスを繰り返す西川マリウス石原安居にビックリするだろうな,neutral (0.738),0.738,強く反対 (0.235),0.235
187,スペック的には弱点がないなダニーロボザ ボールはちょっと持ちすぎかもしれない 西川マリウス安居が下手くそだから 上手く反応できないかもな,neutral (0.821),0.821,強く反対 (0.227),0.227
188,今のところポジ要素しかないな ただ本当にそんなスーパーな選手ならこの年齢までヨーロッパ行ってない筈ないとも思うが 脚の速さ意外は多少割り引いて考えてもいいかもしれん,neutral (0.743),0.743,強く反対 (0.237),0.237
189,ブラジル1部で活躍したのは2023年からだから 微妙な可能性もあるな 遅咲きならいいが,neutral (0.812),0.812,強く反対 (0.226),0.226
190,怪しそうだけど大丈夫,neutral (0.853),0.853,中立 (0.232),0.232
191,前にフィード蹴るタイプなのに パス成功数91もあるやんけ,neutral (0.758),0.758,強く反対 (0.234),0.234
192,地上戦の数値低すぎる,neutral (0.719),0.719,強く反対 (0.248),0.248
193,地上の対人が超苦手だが空中戦は超得意みたいだな,neutral (0.814),0.814,強く反対 (0.227),0.227
